"Story","Title","Result","Date","Stability","Duration (s)"
"Collections test","Podam should be able to create instances of Concurrent Hash Maps","SUCCESS","2015-09-27T14:32:21.883+01:00","0.0","0.06"
"Collections test","Podam should be able to create instances of Hash Maps","SUCCESS","2015-09-27T14:32:22.016+01:00","0.0","0.06"
"Collections test","Podam should be able to create instances of Sorted Maps","SUCCESS","2015-09-27T14:32:21.315+01:00","0.0","0.06"
"Collections test","Podam should be able to fill in POJOs with raw type collection attributes and default values to Object","SUCCESS","2015-09-27T14:32:21.247+01:00","0.0","0.07"
"Collections test","Podam should fill in POJOs with attributes containing wildcards","SUCCESS","2015-09-27T14:32:22.072+01:00","0.0","0.06"
"Collections test","Podam should handle POJOs with no setters and collections in the constructor","SUCCESS","2015-09-27T14:32:21.694+01:00","0.0","0.06"
"Collections test","Podam should handle immutable POJOs with generified collections in the constructor","SUCCESS","2015-09-27T14:32:21.757+01:00","0.0","0.13"
"Collections test","Podam should handle immutable Pojos with non generic collections","SUCCESS","2015-09-27T14:32:21.942+01:00","0.0","0.07"
"Collections test","Podam should handle standard collections","SUCCESS","2015-09-27T14:32:21.379+01:00","0.0","0.31"
