"Story","Title","Result","Date","Stability","Duration (s)"
"Collections test","Podam should handle POJOs with no setters and collections in the constructor","SUCCESS","2015-06-14T20:05:34.899+01:00","0.0","0.02"
"Collections test","Podam should handle immutable POJOs with generified collections in the constructor","SUCCESS","2015-06-14T20:05:34.921+01:00","0.0","0.06"
"Collections test","Podam should handle immutable Pojos with non generic collections","SUCCESS","2015-06-14T20:05:34.977+01:00","0.0","0.03"
"Collections test","Podam should handle standard collections","SUCCESS","2015-06-14T20:05:34.796+01:00","0.0","0.1"
