"Story","Title","Result","Date","Stability","Duration (s)"
"Multiple interfaces inheritance test","Podam cannot instantiate interfaces","SUCCESS","2016-09-03T17:53:02.569+01:00","0.0","0.0"
"Multiple interfaces inheritance test","Podam cannot instantiate interfaces which extend Map","SUCCESS","2016-09-03T17:53:02.561+01:00","0.0","0.0"
"Multiple interfaces inheritance test","Podam will create an instance of a POJO but its interface types won't be instantiated","SUCCESS","2016-09-03T17:53:02.565+01:00","0.0","0.0"
