"Story","Title","Result","Date","Stability","Duration (s)"
"Read only complex types test","Podam should create an instance of an Abstract class with a factory method which returns a concrete type even if the concrete type has got read-only attributes. These will be empty.","SUCCESS","2016-08-21T23:35:45.254+07:00","0.0","0.03"
"Read only complex types test","Podam should fill in POJOs which contain internal loops (e.g. objects that reference parents)","SUCCESS","2016-08-21T23:35:45.324+07:00","0.0","0.03"
"Read only complex types test","Podam should fill in complex (e.g. with more than two generic types), read-only POJOs","SUCCESS","2016-08-21T23:35:45.283+07:00","0.0","0.04"
"Read only complex types test","Podam should fill in read-only POJOs","SUCCESS","2016-08-21T23:35:45.355+07:00","0.0","0.03"
