"Story","Title","Result","Date","Stability","Duration (s)"
"Memoization test","Even when memoization is true, if generics Pojos have different types, objects should not be equal","SUCCESS","2015-07-08T23:32:16.043+01:00","0.0","0.05"
"Memoization test","Memoization should work correctly for collections and arrays","SUCCESS","2015-07-08T23:32:15.910+01:00","0.0","0.08"
"Memoization test","Memoization should work for recursive Pojos","SUCCESS","2015-07-08T23:32:16.094+01:00","0.0","0.05"
"Memoization test","Memoization should work with Generics","SUCCESS","2015-07-08T23:32:15.993+01:00","0.0","0.05"
"Memoization test","When memoization is set to false Podam should return different instances for different invocations","SUCCESS","2015-07-08T23:32:15.801+01:00","0.0","0.05"
"Memoization test","When memoization is set to true Podam should return the same instance for different invocations","SUCCESS","2015-07-08T23:32:15.848+01:00","0.0","0.06"
