"Story","Title","Result","Date","Stability","Duration (s)"
"Multiple interfaces inheritance test","Podam cannot instantiate interfaces","SUCCESS","2016-10-09T18:32:42.071+03:00","0.0","0.03"
"Multiple interfaces inheritance test","Podam cannot instantiate interfaces which extend Map","SUCCESS","2016-10-09T18:32:41.015+03:00","0.0","0.58"
"Multiple interfaces inheritance test","Podam will create an instance of a POJO but its interface types won't be instantiated","SUCCESS","2016-10-09T18:32:41.942+03:00","0.0","0.12"
