"Story","Title","Result","Date","Stability","Duration (s)"
"Inheritance test","Podam should handle basic inheritance scenarios","SUCCESS","2016-08-21T23:35:47.547+07:00","0.0","0.04"
"Inheritance test","Podam should handle the manufacturing of POJOs which inherit from other classes","SUCCESS","2016-08-21T23:35:47.681+07:00","0.0","0.03"
"Inheritance test","Podam should manufacture all POJOs in a tree hierarchy","SUCCESS","2016-08-21T23:35:47.588+07:00","0.0","0.09"
"Inheritance test","Podam should manufacture attributes implementing Collection and Map interfaces","SUCCESS","2016-08-21T23:35:47.499+07:00","0.0","0.05"
