"Story","Title","Result","Date","Stability","Duration (s)"
"Validated pojo test","Podam should be able to fulfill most of the javax Validation framework","SUCCESS","2015-07-10T00:17:37.979+01:00","0.0","0.13"
"Constructors unit test","Podam should be able to instantiate POJOs with immutable Collections","SUCCESS","2015-07-10T00:17:28.421+01:00","0.0","0.06"
"Constructors unit test","Podam should be able to instantiate POJOs with immutable Maps","SUCCESS","2015-07-10T00:17:29.296+01:00","0.0","0.06"
"Constructors unit test","Podam should be able to manufacture POJOs which contain immutable collections","SUCCESS","2015-07-10T00:17:28.769+01:00","0.0","0.06"
"Constructors unit test","Podam should be able to manufacture any type of Lists","SUCCESS","2015-07-10T00:17:28.567+01:00","0.0","0.08"
"Constructors unit test","Podam should be able to manufacture any type of Maps","SUCCESS","2015-07-10T00:17:29.157+01:00","0.0","0.07"
"Constructors unit test","Podam should be able to manufacture instances of the Observable class","SUCCESS","2015-07-10T00:17:28.360+01:00","0.0","0.06"
"Constructors unit test","Podam should choose the fullest constructor when invoked for full data","SUCCESS","2015-07-10T00:17:29.499+01:00","0.0","0.07"
"Constructors unit test","Podam should choose the lightest constructor when the standard manufacturing method is invoked","SUCCESS","2015-07-10T00:17:28.228+01:00","0.0","0.07"
"Random data provider strategy impl initialisation unit test","Podam should correctly generate HashMaps with Long as key type","SUCCESS","2015-07-10T00:17:30.654+01:00","0.0","0.06"
"Extensions test","Podam should create POJOs in accordance with custom data provider strategies","SUCCESS","2015-07-10T00:17:32.481+01:00","0.0","0.07"
"Random data provider strategy impl initialisation unit test","Podam should create POJOs in accordance with custom data provider strategies","SUCCESS","2015-07-10T00:17:30.713+01:00","0.0","0.12"
"Read only complex types test","Podam should create an instance of an Abstract class with a factory method which returns a concrete type even if the concrete type has got read-only attributes. These will be empty.","SUCCESS","2015-07-10T00:17:30.085+01:00","0.0","0.05"
"Constructors unit test","Podam should create instances of POJOs extending generic classes","SUCCESS","2015-07-10T00:17:28.954+01:00","0.0","0.06"
"Extensions test","Podam should fill AttributeMetadata with the attribute name","SUCCESS","2015-07-10T00:17:32.547+01:00","0.0","0.07"
"Podam factory basic types test","Podam should fill Java native types","SUCCESS","2015-07-10T00:17:25.086+01:00","0.0","0.13"
"External factory unit test","Podam should fill POJOs and interface attributes if a full constructor sets the interface attribute value","SUCCESS","2015-07-10T00:17:33.726+01:00","0.0","0.07"
"Podam factory basic types test","Podam should fill POJOs with non default constructors","SUCCESS","2015-07-10T00:17:25.995+01:00","0.0","0.07"
"Abnormal pojos test","Podam should fill POJOs with protected, non default constructors","SUCCESS","2015-07-10T00:17:31.384+01:00","0.0","0.06"
"Abnormal pojos test","Podam should fill POJOs with public, non default constructors","SUCCESS","2015-07-10T00:17:31.280+01:00","0.0","0.05"
"Podam factory basic types test","Podam should fill arrays with elements","SUCCESS","2015-07-10T00:17:25.844+01:00","0.0","0.08"
"Abnormal pojos test","Podam should fill embedded abstract classes if a concrete type has been specified","SUCCESS","2015-07-10T00:17:31.333+01:00","0.0","0.05"
"Podam factory basic types test","Podam should fill in Maps of the containing class type","SUCCESS","2015-07-10T00:17:25.299+01:00","0.0","0.21"
"Read only complex types test","Podam should fill in POJOs which contain internal loops (e.g. objects that reference parents)","SUCCESS","2015-07-10T00:17:30.203+01:00","0.0","0.07"
"Podam factory basic types test","Podam should fill in POJOs which have a circular dependency","SUCCESS","2015-07-10T00:17:26.255+01:00","0.0","0.1"
"Podam factory basic types test","Podam should fill in POJOs with Enums","SUCCESS","2015-07-10T00:17:25.218+01:00","0.0","0.08"
"Collections test","Podam should fill in POJOs with attributes containing wildcards","SUCCESS","2015-07-10T00:17:27.879+01:00","0.0","0.06"
"Podam factory basic types test","Podam should fill in a POJO with basic jvm types","SUCCESS","2015-07-10T00:17:25.578+01:00","0.0","0.1"
"Read only complex types test","Podam should fill in complex (e.g. with more than two generic types), read-only POJOs","SUCCESS","2015-07-10T00:17:30.136+01:00","0.0","0.07"
"Podam factory basic types test","Podam should fill in lists of the containing class type","SUCCESS","2015-07-10T00:17:26.066+01:00","0.0","0.19"
"Read only complex types test","Podam should fill in read-only POJOs","SUCCESS","2015-07-10T00:17:30.270+01:00","0.0","0.06"
"Walk through example unit test","Podam should fill in the Address POJO correctly","SUCCESS","2015-07-10T00:17:38.738+01:00","0.0","0.05"
"Walk through example unit test","Podam should fill in the Bank Account POJO correctly","SUCCESS","2015-07-10T00:17:38.689+01:00","0.0","0.05"
"Walk through example unit test","Podam should fill in the Country POJO correctly","SUCCESS","2015-07-10T00:17:38.296+01:00","0.0","0.05"
"Walk through example unit test","Podam should fill in the Order POJO correctly","SUCCESS","2015-07-10T00:17:38.565+01:00","0.0","0.07"
"Podam factory basic types test","Podam should fill recursive POJOs correctly, including all their fields","SUCCESS","2015-07-10T00:17:25.920+01:00","0.0","0.07"
"Podam factory basic types test","Podam should fill recursive POJOs when invoking the factory population directly","SUCCESS","2015-07-10T00:17:25.763+01:00","0.0","0.08"
"Walk through example unit test","Podam should fill the Article POJO correctly","SUCCESS","2015-07-10T00:17:38.636+01:00","0.0","0.05"
"Walk through example unit test","Podam should fill the Client POJO correctly","SUCCESS","2015-07-10T00:17:38.350+01:00","0.0","0.21"
"Walk through example unit test","Podam should fill the OrderItem POJO correctly","SUCCESS","2015-07-10T00:17:38.786+01:00","0.0","0.04"
"Abnormal pojos test","Podam should fill values invoking children setters accepting a type different from the parent type","SUCCESS","2015-07-10T00:17:31.108+01:00","0.0","0.05"
"Class info test","Podam should generate a ClassInfo which contains information for the setters contained in the POJO","SUCCESS","2015-07-10T00:17:26.717+01:00","0.0","0.01"
"Abnormal pojos test","Podam should generate a non null POJO for Abstract types with a concrete type","SUCCESS","2015-07-10T00:17:31.493+01:00","0.0","0.06"
"Annotations test","Podam should handle POJOs with constructors that have one or more self references to the POJO class, provided the required constructor is annotated with @PodamConstructor","SUCCESS","2015-07-10T00:17:21.655+01:00","0.0","0.11"
"Collections test","Podam should handle POJOs with no setters and collections in the constructor","SUCCESS","2015-07-10T00:17:27.442+01:00","0.0","0.07"
"Abnormal pojos test","Podam should handle POJOs with private constructors only","SUCCESS","2015-07-10T00:17:31.679+01:00","0.0","0.08"
"Abnormal pojos test","Podam should handle POJOs with self reference constructors but not default constructors without the need for the @PodamConstructor annotation","SUCCESS","2015-07-10T00:17:31.553+01:00","0.0","0.07"
"Singletons test","Podam should handle Singletons with parameters in the static method","SUCCESS","2015-07-10T00:17:35.720+01:00","0.0","0.17"
"Non EJB pojo test","Podam should handle attributes in accordance with custom Class Info Strategies","SUCCESS","2015-07-10T00:17:32.834+01:00","0.0","0.07"
"Inheritance test","Podam should handle basic inheritance scenarios","SUCCESS","2015-07-10T00:17:34.146+01:00","0.0","0.08"
"Boolean unit test","Podam should handle booleans correctly","SUCCESS","2015-07-10T00:17:23.979+01:00","0.0","0.09"
"Annotations test","Podam should handle both native and wrapped boolean values with @PodamBooleanValue annotation","SUCCESS","2015-07-10T00:17:20.567+01:00","0.0","0.14"
"Annotations test","Podam should handle both native and wrapped byte values with @PodamByteValue annotation","SUCCESS","2015-07-10T00:17:20.705+01:00","0.0","0.14"
"Annotations test","Podam should handle both native and wrapped char values with @PodamCharValue annotation","SUCCESS","2015-07-10T00:17:20.852+01:00","0.0","0.16"
"Annotations test","Podam should handle both native and wrapped double values with @PodamDoubleValue annotation","SUCCESS","2015-07-10T00:17:21.013+01:00","0.0","0.16"
"Annotations test","Podam should handle both native and wrapped float values with @PodamFloatValue annotation","SUCCESS","2015-07-10T00:17:21.530+01:00","0.0","0.12"
"Annotations test","Podam should handle both native and wrapped integer values with @PodamIntValue annotation","SUCCESS","2015-07-10T00:17:20.370+01:00","0.0","0.19"
"Annotations test","Podam should handle both native and wrapped long values with @PodamLongValue annotation","SUCCESS","2015-07-10T00:17:21.770+01:00","0.0","0.12"
